,English,Spanish
0,1. a free table,1. una mesa libre
1,2. an occupied table,2. una mesa ocupada
2,3. Is the tip included?,3. ¿Está incluido el servicio?
3,4. right away,4. enseguida
4,5. the check / the bill,5. la cuenta
5,6. the customer (f),6. la clienta
6,7. the customer (m),7. el cliente
7,8. the fried plantain banana slices,8. los tostones
8,9. the kebabs,9. los pinchitos
9,10. the meat pie,10. la empanada
10,11. the meatballs,11. las albóndigas
11,12. the menu,12. el menú
12,13. the olives,13. las aceitunas
13,14. the order,14. la orden
14,15. the shrimp (plural),15. los camarones
15,16. the snack,16. la merienda
16,17. the snacks / the appetizers (starts w/,17. las tapas/los antojitos
17,18. the surprise,18. la sorpresa
18,19. the waiter,19. el mesero
19,20. the waitress,20. la mesera
20,"21. What would you all desire to ""have""/""take""?",21. ¿Qué desean tomar?/¿Qué desean Uds. tomar?/¿Qué desean tomar Uds.?/¿Qué desean ustedes tomar?/¿Qué desean tomar ustedes?
